==636== NVPROF is profiling process 636, command: python3 test.py
==636== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==636== Profiling application: python3 test.py
==636== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
6.63673s  1.6960us                    -               -         -         -         -  3.3750KB  1.8978GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63709s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63716s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63724s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63727s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63731s  1.2480us                    -               -         -         -         -        8B  6.1133MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63740s  9.0560us                    -               -         -         -         -  72.000KB  7.5822GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63746s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63751s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63755s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63758s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63761s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63766s  3.1040us                    -               -         -         -         -  16.000KB  4.9158GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63772s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63776s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63783s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63786s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63789s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63796s  3.0720us                    -               -         -         -         -  16.000KB  4.9671GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63804s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63808s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63813s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63821s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
