layer_name,time,output size,mem consumption
user_input,nan,4.2305,nan
d1_conv1,0.0003,45.1250,554.5000
d1_conv2,0.0003,22.5625,276.5300
d1_conv3,0.0003,22.5625,276.5300
d1_conv4,0.0003,22.5625,276.5300
d1_conv5,0.0003,11.2813,135.8900
d1_conv6,0.0003,22.5625,270.9200
d1_conv7,0.0003,22.5625,271.2500
d1_conv8,0.0003,22.5625,271.2500
d2_conv1,0.0003,11.2813,139.8900
d2_conv2,0.0003,5.6407,72.2100
d2_conv3,0.0038,5.6407,67.8100
d2_resblock,0.0012,5.6407,285.7200
d2_conv4,0.0003,5.6407,68.6900
d2_conv5,0.0003,11.2813,135.4900
d3_conv1,0.0003,5.6407,67.7200
d3_conv2,0.0003,2.8204,36.9900
d3_conv3,0.0003,2.8204,36.9900
d3_resblock,0.0045,2.8204,585.4900
d3_conv4,0.0003,2.8204,35.9500
d3_conv5,0.0003,5.6407,67.7200
d4_conv1,0.0078,2.8204,33.8500
d4_conv2,0.0003,1.4102,17.2900
d4_conv3,0.0003,1.4102,17.2900
d4_resblock,0.0045,1.4102,337.4700
d4_conv4,0.0003,1.4102,17.1700
d4_conv5,0.0003,2.8204,34.6300
d5_conv1,0.0017,1.4102,17.0500
d5_conv2,0.0003,0.7051,8.6825
d5_conv3,0.0003,0.7051,8.6825
d5_resblock,0.0024,0.7051,174.6300
d5_conv4,0.0003,0.7051,8.6825
d5_conv5,0.0003,1.4102,17.3200
nk_conv1,0.0002,0.7051,6.5165
nk_conv2,0.0019,1.4102,62.8800
nk_conv3,0.0002,0.7051,6.5165
nk_maxpl1,0.0000,0.7051,4.2400
nk_maxpl2,0.0000,0.7051,4.2400
nk_maxpl3,0.0000,0.7051,4.2800
nk_conv4,0.0002,0.7051,6.5165
nk_conv5,0.0040,1.4102,63.7700
nk_conv6,0.0002,0.7051,6.5165
nk_conv7,0.0002,0.3526,3.2595
nk_upspl1,0.0000,1.4102,1.4100
nk_conv8,0.0002,1.4102,12.7000
nk_conv9,0.0002,1.4102,13.7400
nk_conv10,0.0054,2.8204,37.8900
nk_conv11,0.0002,1.4102,12.7000
nk_conv12,0.0044,2.8204,37.8900
nk_conv13,0.0002,1.4102,12.7000
nk_conv14,0.0002,0.7051,6.5105
nk_upspl2,0.0000,2.8204,2.8200
nk_conv15,0.0002,2.8204,25.4100
nk_conv16,0.0002,2.8204,25.4100
nk_conv17,0.0013,5.6407,54.9300
nk_conv18,0.0002,2.8204,25.4100
nk_conv19,0.0026,5.6407,56.9900
nk_conv20,0.0002,2.8204,25.4100
hd_conv1,0.0022,5.6407,53.8900
hd_conv2,0.0001,5.6186,22.5140
hd_conv3,0.0021,1.4102,12.7000
hd_conv4,0.0010,1.4102,12.7000
hd_conv5,0.0071,2.8204,37.8900
hd_conv6,0.0087,1.4102,12.7000
hd_conv7,0.0005,2.8204,37.8900
hd_conv8,0.0002,1.4102,12.7000
hd_conv9,0.0007,2.8204,37.8900
hd_conv10,0.0020,1.4047,5.6485
hd_conv11,0.0072,0.7051,6.5165
hd_conv12,0.0002,0.7051,6.5165
hd_conv13,0.0016,1.4102,62.7300
hd_conv14,0.0080,0.7051,6.5165
hd_conv15,0.0044,1.4102,62.7300
hd_conv16,0.0002,0.7051,6.5165
hd_conv17,0.0012,1.4102,62.7300
hd_conv18,0.0001,0.3512,1.4425
