tensor name,src,dst
user_input_input,user_input,d1_conv1
d1_conv1_x1,d1_conv1,d1_conv2
d1_conv2_x2,d1_conv2,d1_conv3
d1_conv2_x2,d1_conv2,d1_conv4
d1_conv4_x4,d1_conv4,d1_conv5
d1_conv5_x5,d1_conv5,d1_conv6
d1_conv6_x6,d1_conv6,d1_conv7
d1_conv3_x3,d1_conv3,d1_conv8
d1_conv7_x7,d1_conv7,d1_conv8
d1_conv8_input,d1_conv8,d2_conv1
d2_conv1_x1,d2_conv1,d2_conv2
d2_conv1_x1,d2_conv1,d2_conv3
d2_conv3_x3,d2_conv3,d2_resblock
d2_resblock_r,d2_resblock,d2_conv4
d2_conv2_x2,d2_conv2,d2_conv5
d2_conv4_x4,d2_conv4,d2_conv5
d2_conv5_input,d2_conv5,d3_conv1
d3_conv1_x1,d3_conv1,d3_conv2
d3_conv1_x1,d3_conv1,d3_conv3
d3_conv3_x3,d3_conv3,d3_resblock
d3_resblock_r,d3_resblock,d3_conv4
d3_conv2_x2,d3_conv2,d3_conv5
d3_conv4_x4,d3_conv4,d3_conv5
d3_conv5_input,d3_conv5,d4_conv1
d4_conv1_x1,d4_conv1,d4_conv2
d4_conv1_x1,d4_conv1,d4_conv3
d4_conv3_x3,d4_conv3,d4_resblock
d4_resblock_r,d4_resblock,d4_conv4
d4_conv2_x2,d4_conv2,d4_conv5
d4_conv4_x4,d4_conv4,d4_conv5
d4_conv5_input,d4_conv5,d5_conv1
d5_conv1_x1,d5_conv1,d5_conv2
d5_conv1_x1,d5_conv1,d5_conv3
d5_conv3_x3,d5_conv3,d5_resblock
d5_resblock_r,d5_resblock,d5_conv4
d5_conv2_x2,d5_conv2,d5_conv5
d5_conv4_x4,d5_conv4,d5_conv5
d5_conv5_input,d5_conv5,nk_conv1
nk_conv1_x1,nk_conv1,nk_conv2
nk_conv2_x2,nk_conv2,nk_conv3
nk_conv3_x3,nk_conv3,nk_maxpl1
nk_conv3_x3,nk_conv3,nk_maxpl2
nk_conv3_x3,nk_conv3,nk_maxpl3
nk_conv3_x3,nk_conv3,nk_conv4
nk_maxpl1_m1,nk_maxpl1,nk_conv4
nk_maxpl2_m2,nk_maxpl2,nk_conv4
nk_maxpl3_m3,nk_maxpl3,nk_conv4
nk_conv4_x4,nk_conv4,nk_conv5
nk_conv5_x5,nk_conv5,nk_conv6
nk_conv6_x6,nk_conv6,nk_conv7
nk_conv7_x7,nk_conv7,nk_upspl1
d4_conv5_downsample4,d4_conv5,nk_conv8
nk_conv8_x8,nk_conv8,nk_conv9
nk_upspl1_up,nk_upspl1,nk_conv9
nk_conv9_x9,nk_conv9,nk_conv10
nk_conv10_x10,nk_conv10,nk_conv11
nk_conv11_x11,nk_conv11,nk_conv12
nk_conv12_x12,nk_conv12,nk_conv13
nk_conv13_x13,nk_conv13,nk_conv14
nk_conv14_x14,nk_conv14,nk_upspl2
d3_conv5_downsample3,d3_conv5,nk_conv15
nk_conv15_x15,nk_conv15,nk_conv16
nk_upspl2_up,nk_upspl2,nk_conv16
nk_conv16_x16,nk_conv16,nk_conv17
nk_conv17_x17,nk_conv17,nk_conv18
nk_conv18_x18,nk_conv18,nk_conv19
nk_conv19_x19,nk_conv19,nk_conv20
nk_conv20_input1,nk_conv20,hd_conv1
nk_conv20_input1,nk_conv20,hd_conv3
hd_conv1_x1,hd_conv1,hd_conv2
hd_conv3_x3,hd_conv3,hd_conv4
nk_conv13_input2,nk_conv13,hd_conv4
hd_conv4_x4,hd_conv4,hd_conv5
hd_conv5_x5,hd_conv5,hd_conv6
hd_conv6_x6,hd_conv6,hd_conv7
hd_conv7_x7,hd_conv7,hd_conv8
hd_conv8_x8,hd_conv8,hd_conv9
hd_conv8_x8,hd_conv8,hd_conv11
hd_conv9_x9,hd_conv9,hd_conv10
hd_conv11_x11,hd_conv11,hd_conv12
nk_conv6_input3,nk_conv6,hd_conv12
hd_conv12_x12,hd_conv12,hd_conv13
hd_conv13_x13,hd_conv13,hd_conv14
hd_conv14_x14,hd_conv14,hd_conv15
hd_conv15_x15,hd_conv15,hd_conv16
hd_conv16_x16,hd_conv16,hd_conv17
hd_conv17_x17,hd_conv17,hd_conv18
hd_conv2_x2,hd_conv2,head_output
hd_conv10_x10,hd_conv10,head_output
hd_conv18_x18,hd_conv18,head_output
